0	(0.6759444773239568, 0.30023504985290017, 2.8148469552869995)
1	(0.6609266329145832, 0.2957611296962885, 2.8148469552869995)
2	(0.47953413938501954, 0.3437798792401872, 2.804846961804968)
3	(0.32824218088326973, 0.31043652383435905, 2.7947530766598034)
4	(0.1347246004081912, 0.29119181526103605, 2.7881071929399477)
5	(0.0654069897827329, 0.2674055742021796, 2.7946963784677967)
6	(-0.06447771072240185, 0.2705461859715497, 2.807987642674178)
7	(-0.20459286840153112, 0.2942669934326786, 2.8322625701865447)
8	(-0.3765796229214013, 0.2972985454391859, 2.8572082085293466)
9	(-0.560608801211344, 0.2798005067108616, 2.889465443546337)
10	(-0.7353244218633433, 0.2898064228287092, 2.9346361482010273)
11	(-0.8376605259539117, 0.290007702504406, 2.97914593314765)
12	(-1.031488743703259, 0.3065474057221148, 3.018247303569851)
13	(-1.2013790693356008, 0.26881935827232695, 3.0551317831176625)
14	(-1.289667819677552, 0.263168129902746, 3.0897898645074453)
15	(-1.4522758097702197, 0.2629728088553362, 3.1220718053547722)
16	(-1.6289833679425445, 0.26000738550840563, 3.1513677035418532)
17	(-1.791830203655526, 0.3216788904914328, 3.1779285768444505)
18	(-1.9538721610767413, 0.2668790034551464, 3.2018461820252)
19	(-2.0662564175468527, 0.2714153022468842, 3.224735304991805)
20	(-2.2893885394668807, 0.2496239646923799, 3.2464535141402813)
21	(-2.3911007072939334, 0.2277478056774964, 3.266687645293163)
22	(-2.553114011241953, 0.2383859147829613, 3.2861072832350833)
23	(-2.7067218578040997, 0.24199345749415377, 3.305006541159867)
24	(-2.8363468050319227, 0.2462982342246121, 3.3243044810680855)
25	(-2.989815973546141, 0.23596720412278968, 3.343042606397539)
26	(-3.1551584083813418, 0.2440607261667947, 3.362082502030681)
27	(-3.329113782006147, 0.21161688772189446, 3.3807750537919525)
28	(-3.3988908310509167, 0.19507928845229316, 3.3988619728426084)
29	(-3.563477807132521, 0.20117276084030247, 3.416478351848138)
30	(-3.6479048233681595, 0.19378571378745083, 3.43369105484427)
31	(-3.797599967283471, 0.21984987448216137, 3.463549609235365)
32	(-3.9337361716935253, 0.1795274496577082, 3.5009029203685325)
33	(-4.067419984030758, 0.18297942450483015, 3.5373766950539784)
34	(-4.200542210245279, 0.15857542744652756, 3.572380307995637)
35	(-4.30480412444335, 0.17589182339364234, 3.605700682204423)
36	(-4.407728072219223, 0.18079499930583015, 3.6374455523645137)
37	(-4.531625216266184, 0.15820057859885783, 3.6677355419622226)
38	(-4.643075492151994, 0.14491764815749134, 3.696767556027093)
39	(-4.754392587987183, 0.14403195821135442, 3.7234864710257325)
40	(-4.842956480204869, 0.15160618739749565, 3.771441912443371)
41	(-4.933626159596332, 0.15497694751169624, 3.8178664533358995)
42	(-4.986560577042424, 0.1717309728791071, 3.86189756083811)
43	(-5.108043379258088, 0.15175907414978443, 3.904043735217502)
44	(-5.172760670017794, 0.14634905900790468, 3.9445280689240514)
45	(-5.252861803902611, 0.11454831949205949, 3.983357751081611)
46	(-5.316664508389728, 0.13401665629837822, 4.019696593213298)
47	(-5.37805200865767, 0.13581099801899071, 4.054113865687457)
48	(-5.441356019522305, 0.12230160058978315, 4.0865365392597095)
49	(-5.45747895118233, 0.11817224814968084, 4.116896290042118)
50	(-5.524476771876641, 0.11846047920030411, 4.145534447375688)
51	(-5.557891935538537, 0.11297341537891828, 4.172427022624878)
52	(-5.58880652333827, 0.09880142807294418, 4.197597655118663)
53	(-5.600448561788518, 0.09736959726402256, 4.220447077930248)
54	(-5.655509970454834, 0.09840433715153227, 4.241469772978574)
55	(-5.651386425646808, 0.09517509608408618, 4.260547693600691)
56	(-5.669243696691253, 0.08798060661050533, 4.277604082300733)
57	(-5.69070061924599, 0.08845982203080899, 4.292904878380553)
58	(-5.697472725698403, 0.09580988729461197, 4.306475805685706)
59	(-5.713686947937854, 0.09043524621214433, 4.3180611013112555)
60	(-5.708053959975765, 0.08291017452032227, 4.327757916208777)
61	(-5.740880154818127, 0.08199087811878192, 4.335840822264052)
62	(-5.717777838926979, 0.09041131590461686, 4.3426258702534195)
63	(-5.7262699280858165, 0.08116963830473187, 4.348346714895794)
64	(-5.750908818702942, 0.07197811452111211, 4.353131028352376)
